target;model;seconds;status;hours
pheno_extreme;linearsvchc;474.802;done;0.13188944444444445
pheno_extreme;logithc;149.845;done;0.04162361111111111
pheno_extreme;stacked_linearsvcheursiticc;2272.198;done;0.6311661111111111
pheno_extreme;dummy;40.432;done;0.011231111111111112
pheno_extreme;dummy_stratified;43.897;done;0.01219361111111111
pheno_extreme;gssvm_rbf;51530.045;done;14.313901388888889
pheno_extreme;gsrf;1072.083;done;0.29780083333333335
pheno_extreme;gslinearsvm;5876.898;done;1.6324716666666668
pheno_extreme;gset;2310.459;done;0.6417941666666667
sleep_duration_extreme;linearsvchc;338.896;done;0.09413777777777778
sleep_duration_extreme;logithc;105.274;done;0.029242777777777777
sleep_duration_extreme;stacked_linearsvcheursiticc;3263.486;done;0.9065238888888889
sleep_duration_extreme;dummy;76.833;done;0.0213425
sleep_duration_extreme;dummy_stratified;46.865;done;0.013018055555555555
sleep_duration_extreme;gssvm_rbf;75235.092;done;20.89863666666667
sleep_duration_extreme;gsrf;4049.819;done;1.1249497222222222
sleep_duration_extreme;gslinearsvm;4526.845;done;1.2574569444444446
sleep_duration_extreme;gset;1619.864;done;0.4499622222222222
morning_extreme;linearsvchc;426.66;done;0.11851666666666667
morning_extreme;logithc;110.778;done;0.03077166666666667
morning_extreme;stacked_linearsvcheursiticc;1996.094;done;0.5544705555555556
morning_extreme;dummy;42.454;done;0.011792777777777779
morning_extreme;dummy_stratified;37.679;done;0.01046638888888889
morning_extreme;gssvm_rbf;28894.359;done;8.026210833333334
morning_extreme;gsrf;3900.64;done;1.083511111111111
morning_extreme;gslinearsvm;5317.821;done;1.4771725
morning_extreme;gset;1555.278;done;0.4320216666666667
morning_evening_person_extreme;linearsvchc;129.058;done;0.03584944444444444
morning_evening_person_extreme;logithc;110.328;done;0.030646666666666666
morning_evening_person_extreme;stacked_linearsvcheursiticc;1387.496;done;0.38541555555555557
morning_evening_person_extreme;dummy;35.685;done;0.009912500000000001
morning_evening_person_extreme;dummy_stratified;38.983;done;0.01082861111111111
morning_evening_person_extreme;gssvm_rbf;16090.919;done;4.469699722222222
morning_evening_person_extreme;gsrf;2895.484;done;0.8043011111111111
morning_evening_person_extreme;gslinearsvm;2996.34;done;0.8323166666666667
morning_evening_person_extreme;gset;388.271;done;0.10785305555555556
nap_day_extreme;linearsvchc;385.407;done;0.1070575
nap_day_extreme;logithc;115.512;done;0.032086666666666666
nap_day_extreme;stacked_linearsvcheursiticc;4031.486;done;1.1198572222222223
nap_day_extreme;dummy;64.199;done;0.017833055555555553
nap_day_extreme;dummy_stratified;38.382;done;0.010661666666666667
nap_day_extreme;gssvm_rbf;56578.193;done;15.716164722222222
nap_day_extreme;gsrf;4525.429;done;1.257063611111111
nap_day_extreme;gslinearsvm;2297.616;done;0.6382266666666666
nap_day_extreme;gset;1117.093;done;0.31030361111111116
snoring;linearsvchc;596.621;done;0.16572805555555556
snoring;logithc;159.744;done;0.044373333333333334
snoring;stacked_linearsvcheursiticc;6412.992;done;1.7813866666666667
snoring;dummy;104.464;done;0.029017777777777778
snoring;dummy_stratified;50.098;done;0.01391611111111111
snoring;gssvm_rbf;798291.995;done;221.7477763888889
snoring;gsrf;4325.803;done;1.2016119444444444
snoring;gslinearsvm;1793.553;done;0.4982091666666667
snoring;gset;1258.012;done;0.34944777777777775
doze_day;linearsvchc;750.637;done;0.20851027777777775
doze_day;logithc;212.651;done;0.059069722222222225
doze_day;stacked_linearsvcheursiticc;6277.125;done;1.7436458333333333
doze_day;dummy;52.748;done;0.014652222222222221
doze_day;dummy_stratified;55.04;done;0.015288888888888888
doze_day;gssvm_rbf;569896.358;done;158.3045438888889
doze_day;gsrf;5672.381;done;1.575661388888889
doze_day;gslinearsvm;14949.445;done;4.152623611111111
doze_day;gset;1789.619;done;0.49711638888888887
pheno_extreme;gsrf;216388.90458099998;done;60.10802905027777
doze_day;gsrf;548749.685877;done;152.43046829916665
sleep_duration_extreme;gsrf;551233.2073530001;done;153.12033537583335
morning_extreme;gsrf;668924.898803;done;185.81247188972222
morning_evening_person_extreme;gsrf;414649.48286299995;done;115.18041190638887
nap_day_extreme;gsrf;312993.476411;done;86.9426323363889
