;fit_time;score_time;estimator;test_roc_auc;train_roc_auc;test_average_precision;train_average_precision;test_f1;train_f1;test_precision;train_precision;test_recall;train_recall;test_balanced_accuracy;train_balanced_accuracy;n_train;n_test;repeat;fold;cv_mdsum
0;33.83182692527771;0.23935341835021973;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014968201965622902),
                                     dual=False, penalty='l1'))])";0.5758139946268063;0.7991356249505798;0.28630645613379296;0.5805395139279299;0.09904761904761905;0.22991230149324485;0.3611111111111111;0.8178752107925801;0.05739514348785872;0.1337562051847766;0.5133386401913417;0.5623694610293926;15603;3901;0;0;0e771c1190ea4a0ce23c7d5b46c62924
1;29.28802227973938;0.24450182914733887;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014971822977070809),
                                     dual=False, penalty='l1'))])";0.5792015389888224;0.799823996176529;0.29442663784007606;0.5788952119035101;0.10536218250235184;0.2279080786543473;0.35668789808917195;0.8084033613445378;0.06181015452538632;0.1326530612244898;0.5140436415364829;0.5615674089624161;15603;3901;0;1;0e771c1190ea4a0ce23c7d5b46c62924
2;30.553205490112305;0.2351822853088379;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014971872641913003),
                                     dual=False, penalty='l1'))])";0.5952872301015114;0.7973782048698476;0.31406649767797096;0.5710674635916546;0.11674641148325358;0.21791187739463602;0.4420289855072464;0.8257713248638838;0.06725468577728776;0.12551724137931033;0.5207682914524381;0.5587512738871839;15603;3901;0;2;0e771c1190ea4a0ce23c7d5b46c62924
3;33.43209624290466;0.22833967208862305;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014967325979232338),
                                     dual=False, penalty='l1'))])";0.5930202926985908;0.7975321883222688;0.30277486488377664;0.5753638188833645;0.10095238095238095;0.2155544887181949;0.3706293706293706;0.8299445471349353;0.05843439911797133;0.12386206896551724;0.5141871394387452;0.5580906604637237;15603;3901;0;3;0e771c1190ea4a0ce23c7d5b46c62924
4;27.623469352722168;0.1725318431854248;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.01496840126784983),
                                     dual=False, penalty='l1'))])";0.5674221880110478;0.802833946257604;0.28213260836659027;0.5817081368043552;0.08712121212121213;0.23409789548356585;0.30666666666666664;0.8208955223880597;0.05077262693156733;0.13651406508549366;0.5080182439935058;0.5637487673899667;15604;3900;0;4;0e771c1190ea4a0ce23c7d5b46c62924
5;26.86342740058899;0.1728992462158203;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014972290556954562),
                                     dual=False, penalty='l1'))])";0.592644105149495;0.7975206293769254;0.3037268308860365;0.5745393989521856;0.09001956947162426;0.20943668753009148;0.39655172413793105;0.8238636363636364;0.05077262693156733;0.1199669056811914;0.5137001698931626;0.5561010114946827;15603;3901;1;0;0e771c1190ea4a0ce23c7d5b46c62924
6;24.47241187095642;0.16475534439086914;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.01496855457870123),
                                     dual=False, penalty='l1'))])";0.5699790305402308;0.7984863293550181;0.28739147866870346;0.5755419579180427;0.10009624639076034;0.22185194001428232;0.39097744360902253;0.8104347826086956;0.05739514348785872;0.12851627137341423;0.515175034181325;0.5597077474425725;15603;3901;1;1;0e771c1190ea4a0ce23c7d5b46c62924
7;24.098238945007324;0.17198920249938965;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014969244280254264),
                                     dual=False, penalty='l1'))])";0.582515637670048;0.7986700214761545;0.3003413723832347;0.5746381617296706;0.09197651663405088;0.21743295019157088;0.40869565217391307;0.8239564428312159;0.05181918412348401;0.12524137931034482;0.5145535466375604;0.5585715996568421;15603;3901;1;2;0e771c1190ea4a0ce23c7d5b46c62924
8;22.572208881378174;0.16675543785095215;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014967905388245424),
                                     dual=False, penalty='l1'))])";0.5836630998122669;0.8000915932082381;0.2956697736508871;0.5758199283709081;0.10202117420596728;0.2189954772673173;0.4015151515151515;0.7986111111111112;0.05843439911797133;0.12689655172413794;0.5160241467867746;0.5586060651424163;15603;3901;1;3;0e771c1190ea4a0ce23c7d5b46c62924
9;23.20040726661682;0.15779924392700195;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014969707358691839),
                                     dual=False, penalty='l1'))])";0.5717542516969185;0.7995260570100157;0.28065450047113893;0.5858654868750964;0.0916030534351145;0.23712801133679737;0.3380281690140845;0.8256578947368421;0.052980132450331126;0.13844456701599558;0.5107920034329144;0.5647975047469358;15604;3900;1;4;0e771c1190ea4a0ce23c7d5b46c62924
10;25.191176414489746;0.15473556518554688;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.01496961893776735),
                                     dual=False, penalty='l1'))])";0.5822349242851405;0.7997712429241908;0.29506903987287536;0.5734200214369749;0.08995215311004785;0.22359363873724186;0.3381294964028777;0.8023850085178875;0.05187637969094923;0.12989520132377275;0.510579258292887;0.5601049856497798;15603;3901;2;0;0e771c1190ea4a0ce23c7d5b46c62924
11;22.05388069152832;0.1522972583770752;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014971122893592712),
                                     dual=False, penalty='l1'))])";0.586285457366398;0.7971422842485236;0.30364525569659834;0.5766845307648969;0.10877862595419847;0.21994763151630564;0.4014084507042254;0.8034782608695652;0.06291390728476821;0.1274131274131274;0.5172666364470586;0.5589891887378737;15603;3901;2;1;0e771c1190ea4a0ce23c7d5b46c62924
12;26.107762575149536;0.15264391899108887;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014970555032026081),
                                     dual=False, penalty='l1'))])";0.5755999319476881;0.7979071746477739;0.2834655763268766;0.5746466394379766;0.08940719144800778;0.22711142654364797;0.3770491803278688;0.7973421926910299;0.050716648291069456;0.13241379310344828;0.5126662733773316;0.561114226656917;15603;3901;2;2;0e771c1190ea4a0ce23c7d5b46c62924
13;24.531294584274292;0.15331697463989258;"Pipeline(steps=[('set_column_types',
                 SetColumnTypes(X_types={'GCOR': ['GCOR_.*'], 'GMD': ['GMD_.*'],
                                         'LCOR': ['LCOR.*'],
                                         'Surface': ['Surface_.*'],
                                         'fALFF': ['fALFF_.*']})),
                ('zscore', StandardScaler()),
                ('linearsvcheuristicc',
                 LinearSVCHeuristicC(C=np.float64(0.014967126045697356),
                                     dual=False, penalty='l1'))])";0.5908292144745205;0.7982948509048196;0.3070384429128211;0.5727383411723885;0.10556621880998081;0.21032412965186073;0.4074074074074074;0.8111111111111111;0.06063947078280044;0.12082758620689656;0.5169596819511865;0.5561559871258226;15603;3901;2;3;0e771c1190ea4a0ce23c7d5b46c62924
