Split;Target;Model;ROC-AUC;Balanced Accuracy;F1-Score;Average Precision
test;Daytime Dozing;Extra Trees;0.581 ± 0.009;0.5 ± 0.0;0.001 ± 0.001;0.288 ± 0.008
test;Daytime Dozing;Linear SVM;0.562 ± 0.014;0.527 ± 0.007;0.23 ± 0.056;0.278 ± 0.011
test;Daytime Dozing;Random Forest;0.575 ± 0.007;0.501 ± 0.001;0.005 ± 0.004;0.282 ± 0.006
test;Daytime Dozing;SVM (RBF Kernel);0.558 ± 0.009;0.531 ± 0.006;0.262 ± 0.03;0.275 ± 0.005
test;Daytime Dozing;Linear SVM (Heuristic C);0.581 ± 0.007;0.514 ± 0.003;0.1 ± 0.01;0.295 ± 0.01
test;Daytime Dozing;Logit (Heuristic C);0.593 ± 0.009;0.501 ± 0.001;0.008 ± 0.003;0.305 ± 0.011
test;Daytime Dozing;Stacked;0.511 ± 0.004;0.5 ± 0.0;0.002 ± 0.003;0.24 ± 0.004
test;Morning/Evening;Extra Trees;0.539 ± 0.021;0.5 ± 0.002;0.004 ± 0.005;0.287 ± 0.016
test;Morning/Evening;Linear SVM;0.557 ± 0.025;0.529 ± 0.017;0.262 ± 0.022;0.299 ± 0.022
test;Morning/Evening;Random Forest;0.538 ± 0.019;0.501 ± 0.002;0.01 ± 0.009;0.282 ± 0.014
test;Morning/Evening;SVM (RBF Kernel);0.54 ± 0.018;0.521 ± 0.016;0.268 ± 0.045;0.284 ± 0.016
test;Morning/Evening;Linear SVM (Heuristic C);0.549 ± 0.019;0.511 ± 0.007;0.112 ± 0.023;0.292 ± 0.015
test;Morning/Evening;Logit (Heuristic C);0.572 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.308 ± 0.014
test;Morning/Evening;Stacked;0.512 ± 0.009;0.5 ± 0.0;0.0 ± 0.001;0.26 ± 0.006
test;Getting up;Extra Trees;0.631 ± 0.02;0.502 ± 0.002;0.011 ± 0.007;0.36 ± 0.02
test;Getting up;Linear SVM;0.665 ± 0.018;0.588 ± 0.01;0.361 ± 0.018;0.401 ± 0.018
test;Getting up;Random Forest;0.619 ± 0.017;0.504 ± 0.003;0.026 ± 0.009;0.344 ± 0.017
test;Getting up;SVM (RBF Kernel);0.634 ± 0.02;0.57 ± 0.006;0.324 ± 0.014;0.372 ± 0.017
test;Getting up;Linear SVM (Heuristic C);0.653 ± 0.017;0.553 ± 0.008;0.25 ± 0.019;0.383 ± 0.016
test;Getting up;Logit (Heuristic C);0.664 ± 0.015;0.515 ± 0.005;0.074 ± 0.018;0.396 ± 0.016
test;Getting up;Stacked;0.563 ± 0.01;0.515 ± 0.005;0.076 ± 0.021;0.302 ± 0.011
test;Nap during day;Extra Trees;0.664 ± 0.013;0.5 ± 0.0;0.001 ± 0.002;0.163 ± 0.014
test;Nap during day;Linear SVM;0.591 ± 0.024;0.54 ± 0.015;0.165 ± 0.023;0.128 ± 0.013
test;Nap during day;Random Forest;0.648 ± 0.013;0.501 ± 0.002;0.006 ± 0.006;0.15 ± 0.009
test;Nap during day;SVM (RBF Kernel);0.599 ± 0.024;0.543 ± 0.016;0.169 ± 0.027;0.131 ± 0.012
test;Nap during day;Linear SVM (Heuristic C);0.677 ± 0.018;0.501 ± 0.001;0.003 ± 0.005;0.18 ± 0.018
test;Nap during day;Logit (Heuristic C);0.702 ± 0.018;0.5 ± 0.0;0.0 ± 0.0;0.19 ± 0.016
test;Nap during day;Stacked;0.5 ± 0.001;0.5 ± 0.0;0.0 ± 0.0;0.089 ± 0.0
test;Sleeplesness/Insomnia;Extra Trees;0.59 ± 0.012;0.531 ± 0.007;0.724 ± 0.005;0.661 ± 0.013
test;Sleeplesness/Insomnia;Linear SVM;0.588 ± 0.012;0.56 ± 0.011;0.661 ± 0.009;0.663 ± 0.01
test;Sleeplesness/Insomnia;Random Forest;0.59 ± 0.012;0.535 ± 0.007;0.721 ± 0.007;0.662 ± 0.011
test;Sleeplesness/Insomnia;SVM (RBF Kernel);0.595 ± 0.016;0.551 ± 0.007;0.709 ± 0.016;0.668 ± 0.015
test;Sleeplesness/Insomnia;Linear SVM (Heuristic C);0.578 ± 0.009;0.55 ± 0.008;0.671 ± 0.006;0.655 ± 0.009
test;Sleeplesness/Insomnia;Logit (Heuristic C);0.607 ± 0.01;0.553 ± 0.008;0.717 ± 0.006;0.676 ± 0.009
test;Sleeplesness/Insomnia;Stacked;0.583 ± 0.009;0.535 ± 0.006;0.727 ± 0.004;0.647 ± 0.007
test;Sleep Duration;Extra Trees;0.572 ± 0.014;0.531 ± 0.006;0.736 ± 0.004;0.645 ± 0.011
test;Sleep Duration;Linear SVM;0.587 ± 0.008;0.558 ± 0.008;0.672 ± 0.008;0.663 ± 0.009
test;Sleep Duration;Random Forest;0.573 ± 0.014;0.532 ± 0.007;0.734 ± 0.005;0.648 ± 0.012
test;Sleep Duration;SVM (RBF Kernel);0.575 ± 0.014;0.544 ± 0.006;0.682 ± 0.035;0.656 ± 0.011
test;Sleep Duration;Linear SVM (Heuristic C);0.581 ± 0.008;0.551 ± 0.008;0.681 ± 0.009;0.657 ± 0.01
test;Sleep Duration;Logit (Heuristic C);0.591 ± 0.011;0.545 ± 0.005;0.731 ± 0.006;0.664 ± 0.008
test;Sleep Duration;Stacked;0.57 ± 0.009;0.526 ± 0.004;0.735 ± 0.005;0.641 ± 0.008
test;Snoring;Extra Trees;0.574 ± 0.012;0.503 ± 0.002;0.032 ± 0.006;0.423 ± 0.011
test;Snoring;Linear SVM;0.6 ± 0.009;0.56 ± 0.007;0.391 ± 0.011;0.45 ± 0.01
test;Snoring;Random Forest;0.571 ± 0.012;0.505 ± 0.003;0.054 ± 0.012;0.42 ± 0.013
test;Snoring;SVM (RBF Kernel);0.576 ± 0.008;0.547 ± 0.007;0.378 ± 0.012;0.428 ± 0.009
test;Snoring;Linear SVM (Heuristic C);0.592 ± 0.008;0.551 ± 0.006;0.356 ± 0.011;0.444 ± 0.011
test;Snoring;Logit (Heuristic C);0.618 ± 0.01;0.538 ± 0.005;0.234 ± 0.01;0.466 ± 0.011
test;Snoring;Stacked;0.578 ± 0.008;0.52 ± 0.005;0.138 ± 0.018;0.425 ± 0.009
train;Daytime Dozing;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Daytime Dozing;Linear SVM;0.871 ± 0.039;0.701 ± 0.068;0.548 ± 0.136;0.71 ± 0.074
train;Daytime Dozing;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Daytime Dozing;SVM (RBF Kernel);0.958 ± 0.058;0.919 ± 0.105;0.891 ± 0.145;0.923 ± 0.108
train;Daytime Dozing;Linear SVM (Heuristic C);0.799 ± 0.002;0.56 ± 0.003;0.222 ± 0.008;0.577 ± 0.004
train;Daytime Dozing;Logit (Heuristic C);0.668 ± 0.002;0.502 ± 0.001;0.011 ± 0.004;0.381 ± 0.004
train;Daytime Dozing;Stacked;0.537 ± 0.003;0.502 ± 0.001;0.007 ± 0.005;0.274 ± 0.004
train;Morning/Evening;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Morning/Evening;Linear SVM;0.906 ± 0.048;0.786 ± 0.092;0.698 ± 0.134;0.799 ± 0.101
train;Morning/Evening;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Morning/Evening;SVM (RBF Kernel);0.983 ± 0.023;0.931 ± 0.084;0.916 ± 0.104;0.974 ± 0.035
train;Morning/Evening;Linear SVM (Heuristic C);0.858 ± 0.004;0.598 ± 0.008;0.333 ± 0.02;0.702 ± 0.009
train;Morning/Evening;Logit (Heuristic C);0.637 ± 0.007;0.5 ± 0.0;0.0 ± 0.0;0.369 ± 0.007
train;Morning/Evening;Stacked;0.619 ± 0.024;0.5 ± 0.0;0.001 ± 0.002;0.404 ± 0.025
train;Getting up;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Getting up;Linear SVM;0.874 ± 0.003;0.735 ± 0.006;0.619 ± 0.009;0.724 ± 0.006
train;Getting up;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Getting up;SVM (RBF Kernel);0.989 ± 0.016;0.962 ± 0.048;0.953 ± 0.061;0.98 ± 0.027
train;Getting up;Linear SVM (Heuristic C);0.865 ± 0.004;0.651 ± 0.007;0.467 ± 0.015;0.707 ± 0.007
train;Getting up;Logit (Heuristic C);0.713 ± 0.005;0.522 ± 0.004;0.095 ± 0.014;0.458 ± 0.006
train;Getting up;Stacked;0.661 ± 0.01;0.54 ± 0.011;0.155 ± 0.04;0.442 ± 0.012
train;Nap during day;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Nap during day;Linear SVM;1.0 ± 0.0;0.999 ± 0.002;0.999 ± 0.002;1.0 ± 0.0
train;Nap during day;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Nap during day;SVM (RBF Kernel);1.0 ± 0.0;0.999 ± 0.001;0.999 ± 0.001;1.0 ± 0.001
train;Nap during day;Linear SVM (Heuristic C);0.89 ± 0.003;0.503 ± 0.002;0.014 ± 0.006;0.546 ± 0.012
train;Nap during day;Logit (Heuristic C);0.737 ± 0.005;0.5 ± 0.0;0.0 ± 0.0;0.223 ± 0.007
train;Nap during day;Stacked;0.501 ± 0.003;0.5 ± 0.0;0.0 ± 0.0;0.093 ± 0.004
train;Sleeplesness/Insomnia;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Sleeplesness/Insomnia;Linear SVM;0.82 ± 0.002;0.732 ± 0.003;0.796 ± 0.002;0.862 ± 0.002
train;Sleeplesness/Insomnia;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Sleeplesness/Insomnia;SVM (RBF Kernel);0.781 ± 0.033;0.671 ± 0.047;0.792 ± 0.027;0.813 ± 0.028
train;Sleeplesness/Insomnia;Linear SVM (Heuristic C);0.822 ± 0.002;0.722 ± 0.004;0.802 ± 0.002;0.864 ± 0.003
train;Sleeplesness/Insomnia;Logit (Heuristic C);0.666 ± 0.003;0.584 ± 0.003;0.738 ± 0.002;0.728 ± 0.003
