;fit_time;score_time;estimator;test_roc_auc;train_roc_auc;test_average_precision;train_average_precision;test_f1;train_f1;test_precision;train_precision;test_recall;train_recall;test_balanced_accuracy;train_balanced_accuracy;n_train;n_test;repeat;fold;cv_mdsum
0;880177.075253725;2.643885374069214;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5090666194945955;0.5180824609551098;0.25995385240467284;0.2831468909475054;0.04979253112033195;0.08671113391482811;0.41379310344827586;0.6213235294117647;0.026490066225165563;0.046607832322118035;0.5075689062344525;0.5190040080037576;15603;3901;0;0;0e771c1190ea4a0ce23c7d5b46c62924
1;915903.9476120472;2.6143836975097656;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5244487685509698;0.5270885878389546;0.27055585671344773;0.29126711422220003;0.0708502024291498;0.0912799592044875;0.4268292682926829;0.6047297297297297;0.03863134657836645;0.04936569222283508;0.5114692626047092;0.5197984844181721;15603;3901;0;1;0e771c1190ea4a0ce23c7d5b46c62924
2;1717435.6194138527;2.7366514205932617;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.4941299357259171;0.5406828956535257;0.25105459767179983;0.2999343329334888;0.029442691903259727;0.06439790575916231;0.3181818181818182;0.6307692307692307;0.015435501653803748;0.033931034482758624;0.5027077307868217;0.5139600071395259;15603;3901;0;2;0e771c1190ea4a0ce23c7d5b46c62924
3;1572217.8376264572;2.556705951690674;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5042079749355382;0.535587473586633;0.25438569222671314;0.2938630821847351;0.06006006006006006;0.10063211125158028;0.32608695652173914;0.603030303030303;0.03307607497243661;0.05489655172413793;0.5061839960700527;0.5219799172045302;15603;3901;0;3;0e771c1190ea4a0ce23c7d5b46c62924
4;4185772.4702398777;2.6629385948181152;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5082363033646395;0.5564733750246477;0.24588457243118153;0.30026542172385223;0.06639839034205232;0.09349593495934959;0.375;0.5935483870967742;0.03642384105960265;0.0507446221731936;0.5090268837896543;0.5201126684083534;15604;3900;0;4;0e771c1190ea4a0ce23c7d5b46c62924
5;2427215.0080533028;2.653186559677124;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5089680372364537;0.5523957805503387;0.26614668722499923;0.2986981041126403;0.09188660801564028;0.10837683320904798;0.4017094017094017;0.5491183879093199;0.05187637969094923;0.06012134583563155;0.5142520462728536;0.5225880169939617;15603;3901;1;0;0e771c1190ea4a0ce23c7d5b46c62924
6;1251460.439464569;2.4966092109680176;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5011031999616726;0.521539111482336;0.2486130096777754;0.28529006631149423;0.056338028169014086;0.08406395048994326;0.3181818181818182;0.6468253968253969;0.03090507726269316;0.04495311638168781;0.5054358441405286;0.5187611035694863;15603;3901;1;1;0e771c1190ea4a0ce23c7d5b46c62924
7;1314788.2725102901;2.5728049278259277;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5278504454701392;0.5246109822030043;0.27701542120076306;0.28468659488792564;0.05960945529290853;0.086198050282196;0.4393939393939394;0.6153846153846154;0.03197353914002205;0.046344827586206894;0.5098077448539121;0.5187893782279006;15603;3901;1;2;0e771c1190ea4a0ce23c7d5b46c62924
8;1979179.2135519981;2.71435809135437;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.5107756858811339;0.5584901745153471;0.24620586305391529;0.29911741642639855;0.05639476334340383;0.0833120368004089;0.32558139534883723;0.5659722222222222;0.030871003307607496;0.04496551724137931;0.5057494629096487;0.5172648591383052;15603;3901;1;3;0e771c1190ea4a0ce23c7d5b46c62924
9;3694304.4975779057;2.697187662124634;"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={'confounds': ['Sex-0.0',
                                                                              'AgeAtScan']})),
                                       ('zscore', StandardScaler()),
                                       ('svm', SVC(probability=True))]),
             param_grid={'svm__C': [0.0001, 0.001, 0.01, 0.1, 1, 10, 100, 1000,
                                    10000, 1000000],
                         'svm__gamma': [1e-07, 1e-06, 1e-05, 0.0001, 0.001,
                                        0.01, 0.1, 1, 10, 100, 1000]},
             pre_dispatch='all', scoring='balanced_accuracy')";0.498150458385498;0.5290607472405053;0.25163609967588324;0.28924507367989516;0.060544904137235116;0.09523809523809523;0.35294117647058826;0.6212624584717608;0.033112582781456956;0.05157198014340871;0.5073712546505815;0.5210272657437698;15604;3900;1;4;0e771c1190ea4a0ce23c7d5b46c62924
